window_end,TP,FP,TN,FN,Precision,Recall,F1
1748413720.2665203,1,0,0,0,1.0,1.0,1.0
1748413720.3356373,2,0,0,0,1.0,1.0,1.0
1748413720.431472,3,0,0,0,1.0,1.0,1.0
1748413720.509429,4,0,0,0,1.0,1.0,1.0
1748413720.5618737,1,0,0,0,1.0,1.0,1.0
1748413720.6430311,2,0,0,0,1.0,1.0,1.0
1748413720.6951563,5,0,0,0,1.0,1.0,1.0
1748413720.70739,6,0,0,0,1.0,1.0,1.0
1748413720.729447,7,0,0,0,1.0,1.0,1.0
1748413720.7501204,3,0,0,0,1.0,1.0,1.0
1748413720.7566507,4,0,0,0,1.0,1.0,1.0
1748413720.7718244,5,0,0,0,1.0,1.0,1.0
1748413720.813871,8,0,0,0,1.0,1.0,1.0
1748413720.846839,6,0,0,0,1.0,1.0,1.0
1748413720.8966827,9,0,0,0,1.0,1.0,1.0
1748413720.9096012,7,0,0,0,1.0,1.0,1.0
1748413720.9783201,10,0,0,0,1.0,1.0,1.0
1748413720.9881883,11,0,0,0,1.0,1.0,1.0
1748413721.013127,8,0,0,0,1.0,1.0,1.0
1748413721.018754,12,0,0,0,1.0,1.0,1.0
1748413721.0270333,13,0,0,0,1.0,1.0,1.0
1748413721.0587375,14,0,0,0,1.0,1.0,1.0
1748413721.0691247,9,0,0,0,1.0,1.0,1.0
1748413721.0850651,10,0,0,0,1.0,1.0,1.0
1748413721.1268637,15,0,0,0,1.0,1.0,1.0
1748413721.1576078,11,0,0,0,1.0,1.0,1.0
1748413721.1805527,16,0,0,0,1.0,1.0,1.0
1748413721.1805534,12,0,0,0,1.0,1.0,1.0
1748413721.1905775,17,0,0,0,1.0,1.0,1.0
1748413721.2586062,13,0,0,0,1.0,1.0,1.0
1748413721.2668922,14,0,0,0,1.0,1.0,1.0
1748413721.2688134,15,0,0,0,1.0,1.0,1.0
1748413721.2858462,18,0,0,0,1.0,1.0,1.0
1748413721.341557,19,0,0,0,1.0,1.0,1.0
1748413721.359087,20,0,0,0,1.0,1.0,1.0
1748413721.4605224,16,0,0,0,1.0,1.0,1.0
1748413721.4621112,21,0,0,0,1.0,1.0,1.0
1748413721.4706395,17,0,0,0,1.0,1.0,1.0
1748413721.4910572,18,0,0,0,1.0,1.0,1.0
