Interval (sec),Avg Capacity (bps),Lower CI (bps),Upper CI (bps)
0.5,14.320438365312032,14.265073354516357,14.375803376107708
1.0,7.5586173086813755,7.551403165373023,7.565831451989728
1.5,5.121656080965188,5.117572564496682,5.125739597433694
2.0,3.8840157487526854,3.8812969233223438,3.886734574183027
