window_end,TP,FP,TN,FN,Precision,Recall,F1
1749911100.4962103,1,0,0,0,1.0,1.0,1.0
1749911100.5359352,2,0,0,0,1.0,1.0,1.0
1749911100.561003,3,0,0,0,1.0,1.0,1.0
1749911100.574965,1,0,0,0,1.0,1.0,1.0
1749911100.66553,2,0,0,0,1.0,1.0,1.0
1749911100.667271,4,0,0,0,1.0,1.0,1.0
1749911100.7291281,3,0,0,0,1.0,1.0,1.0
1749911100.7641063,4,0,0,0,1.0,1.0,1.0
1749911100.7641208,5,0,0,0,1.0,1.0,1.0
1749911100.765651,6,0,0,0,1.0,1.0,1.0
1749911100.8477066,5,0,0,0,1.0,1.0,1.0
1749911100.8757985,6,0,0,0,1.0,1.0,1.0
1749911100.884108,7,0,0,0,1.0,1.0,1.0
1749911100.8967097,7,0,0,0,1.0,1.0,1.0
1749911100.9191117,8,0,0,0,1.0,1.0,1.0
1749911101.0176878,9,0,0,0,1.0,1.0,1.0
1749911101.070929,8,0,0,0,1.0,1.0,1.0
1749911101.07614,9,0,0,0,1.0,1.0,1.0
1749911101.0862775,10,0,0,0,1.0,1.0,1.0
1749911101.0868313,10,0,0,0,1.0,1.0,1.0
1749911101.1116483,11,0,0,0,1.0,1.0,1.0
1749911101.140275,11,0,0,0,1.0,1.0,1.0
1749911101.1812077,12,0,0,0,1.0,1.0,1.0
1749911101.2415252,12,0,0,0,1.0,1.0,1.0
1749911101.2827878,13,0,0,0,1.0,1.0,1.0
1749911101.2835212,13,0,0,0,1.0,1.0,1.0
1749911101.2931995,14,0,0,0,1.0,1.0,1.0
1749911101.322665,15,0,0,0,1.0,1.0,1.0
1749911101.371542,14,0,0,0,1.0,1.0,1.0
1749911101.3781834,16,0,0,0,1.0,1.0,1.0
1749911101.406995,17,0,0,0,1.0,1.0,1.0
1749911101.4277704,18,0,0,0,1.0,1.0,1.0
1749911101.4339507,15,0,0,0,1.0,1.0,1.0
1749911101.4459383,16,0,0,0,1.0,1.0,1.0
1749911101.464371,17,0,0,0,1.0,1.0,1.0
1749911101.5525756,18,0,0,0,1.0,1.0,1.0
1749911101.5632987,19,0,0,0,1.0,1.0,1.0
1749911101.5633252,19,0,0,0,1.0,1.0,1.0
1749911101.58722,20,0,0,0,1.0,1.0,1.0
1749911101.5967631,21,0,0,0,1.0,1.0,1.0
1749911101.6012065,20,0,0,0,1.0,1.0,1.0
